Semaine;Martinique (LC);Guadeloupe (GP);Saint Martin (ile d Amérique du nord) (MF);Republique Dominicaine (DO);Sainte Lucie (LC);Barbade (BB)
2020-02-23;4,00;16,00;4,00;62,00;33,00;120,00
2020-03-01;6,00;15,00;2,00;53,00;31,00;156,00
2020-03-08;5,00;11,00;7,00;63,00;44,00;190,00
2020-03-15;4,00;7,00;7,00;70,00;33,00;128,00
2020-03-22;1,00;7,00;1,00;26,00;20,00;34,00
2020-03-29;3,00;10,00;2,00;21,00;15,00;48,00
2020-04-05;1,00;7,00;3,00;27,00;20,00;32,00
2020-04-12;0,00;4,00;3,00;23,00;10,00;14,00
2020-04-19;4,00;4,00;2,00;18,00;13,00;60,00
2020-04-26;0,00;9,00;5,00;32,00;12,00;13,00
2020-05-03;5,00;8,00;2,00;25,00;12,00;75,00
2020-05-10;4,00;4,00;8,00;31,00;20,00;56,00
2020-05-17;10,00;13,00;3,00;32,00;12,00;65,00
2020-05-24;5,00;10,00;3,00;44,00;22,00;80,00
2020-05-31;3,00;15,00;3,00;35,00;13,00;45,00
2020-06-07;4,00;7,00;3,00;33,00;19,00;68,00
2020-06-14;4,00;5,00;3,00;34,00;13,00;64,00
2020-06-21;3,00;10,00;1,00;43,00;21,00;48,00
2020-06-28;4,00;6,00;6,00;38,00;20,00;72,00
2020-07-05;11,00;7,00;1,00;30,00;20,00;132,00
2020-07-12;2,00;4,00;3,00;31,00;12,00;96,00
2020-07-19;6,00;11,00;6,00;39,00;19,00;126,00
2020-07-26;6,00;9,00;5,00;31,00;23,00;138,00
2020-08-02;5,00;14,00;5,00;34,00;26,00;100,00
2020-08-09;13,00;14,00;3,00;38,00;25,00;149,50
2020-08-16;2,00;7,00;5,00;25,00;18,00;88,00
2020-08-23;8,00;6,00;4,00;37,00;25,00;80,00
2020-08-30;5,00;8,00;2,00;23,00;33,00;135,00
2020-09-06;4,00;5,00;3,00;29,00;18,00;80,00
2020-09-13;11,00;15,00;0,00;32,00;23,00;159,50
2020-09-20;4,00;7,00;2,00;30,00;27,00;92,00
2020-09-27;3,00;8,00;3,00;22,00;31,00;69,00
2020-10-04;4,00;5,00;1,00;34,00;26,00;76,00
2020-10-11;3,00;3,00;6,00;25,00;21,00;66,00
2020-10-18;1,00;9,00;6,00;36,00;36,00;40,00
2020-10-25;5,00;2,00;3,00;26,00;40,00;120,00
2020-11-01;4,00;7,00;2,00;20,00;21,00;56,00
2020-11-08;3,00;3,00;3,00;28,00;24,00;69,00
2020-11-15;5,00;3,00;0,00;34,00;23,00;80,00
2020-11-22;3,00;5,00;0,00;27,00;15,00;81,00
2020-11-29;4,00;6,00;1,00;25,00;27,00;132,00
2020-12-06;3,00;4,00;1,00;29,00;29,00;81,00
2020-12-13;4,00;4,00;1,00;25,00;28,00;104,00
2020-12-20;4,00;11,00;5,00;25,00;38,00;120,00
2020-12-27;3,00;10,00;3,00;30,00;32,00;105,00
2021-01-03;2,00;25,00;2,00;20,00;36,00;140,00
2021-01-10;2,00;13,00;1,00;33,00;21,00;104,00
2021-01-17;3,00;13,00;1,00;27,00;12,00;69,00
2021-01-24;3,00;18,00;2,00;21,00;21,00;69,00
2021-01-31;4,00;28,00;0,00;20,00;17,00;400,00
2021-02-07;4,00;16,00;3,00;24,00;27,00;80,00
2021-02-14;3,00;14,00;1,00;26,00;24,00;60,00
2021-02-21;3,00;4,00;0,00;32,00;27,00;57,00
2021-02-28;1,00;8,00;3,00;29,00;12,00;36,00
2021-03-07;2,00;15,00;4,00;32,00;19,00;76,00
2021-03-14;3,00;11,00;2,00;35,00;18,00;63,00
2021-03-21;2,00;7,00;0,00;30,00;10,00;64,00
2021-03-28;4,00;5,00;4,00;25,00;13,00;76,00
2021-04-04;5,00;5,00;3,00;27,00;10,00;105,00
2021-04-11;6,00;5,00;2,00;20,00;23,00;108,00
2021-04-18;2,00;2,00;1,00;26,00;12,00;60,00
2021-04-25;2,00;5,00;5,00;30,00;15,00;76,00
2021-05-02;2,00;6,00;0,00;32,00;17,00;76,00
2021-05-09;2,00;5,00;3,00;28,00;13,00;64,00
2021-05-16;3,00;9,00;1,00;33,00;10,00;45,00
2021-05-23;4,00;5,00;0,00;19,00;17,00;72,00
2021-05-30;4,00;4,00;1,00;29,00;27,00;76,00
2021-06-06;2,00;6,00;1,00;24,00;16,00;64,00
2021-06-13;2,00;5,00;2,00;22,00;16,00;60,00
2021-06-20;1,00;7,00;0,00;40,00;17,00;66,00
2021-06-27;2,00;7,00;1,00;23,00;16,00;128,00
2021-07-04;0,00;2,00;1,00;31,00;14,00;28,00
2021-07-11;6,00;8,00;6,00;20,00;23,00;186,00
2021-07-18;4,00;6,00;2,00;27,00;29,00;136,00
2021-07-25;2,00;2,00;1,00;29,00;27,00;144,00
2021-08-01;5,00;8,00;1,00;38,00;35,00;210,00
2021-08-08;4,00;5,00;4,00;25,00;32,00;160,00
2021-08-15;2,00;4,00;0,00;37,00;35,00;152,00
2021-08-22;1,00;3,00;3,00;24,00;44,00;84,00
2021-08-29;1,00;1,00;3,00;26,00;23,00;66,00
2021-09-05;3,00;4,00;4,00;36,00;26,00;222,00
2021-09-12;1,00;3,00;1,00;38,00;25,00;70,00
2021-09-19;0,00;6,00;1,00;39,00;34,00;36,00
2021-09-26;0,00;2,00;0,00;39,00;22,00;32,00
2021-10-03;1,00;3,00;0,00;34,00;24,00;68,00
2021-10-10;4,00;8,00;3,00;32,00;45,00;144,00
2021-10-17;1,00;5,00;1,00;31,00;28,00;88,00
2021-10-24;1,00;6,00;2,00;26,00;31,00;76,00
2021-10-31;4,00;8,00;1,00;53,00;37,00;152,00
2021-11-07;3,00;4,00;4,00;39,00;34,00;102,00
