Semaine;St Barthélémy (BL);Iles Vierges (UK) (VG);Saint Vincent et les Grenadines (VC)
2020-09-06;0,00;0,00;19,00
2020-09-13;0,00;0,00;0,00
2020-09-20;0,00;36,00;0,00
2020-09-27;37,00;37,00;0,00
2020-10-04;18,00;0,00;0,00
2020-10-11;0,00;0,00;0,00
2020-10-18;38,00;0,00;0,00
2020-10-25;19,00;0,00;0,00
2020-11-01;0,00;17,00;0,00
2020-11-08;0,00;0,00;19,00
2020-11-15;0,00;0,00;0,00
2020-11-22;18,00;18,00;18,00
2020-11-29;18,00;0,00;0,00
2020-12-06;0,00;0,00;0,00
2020-12-13;18,00;0,00;0,00
2020-12-20;0,00;42,00;0,00
2020-12-27;20,00;0,00;0,00
2021-01-03;71,00;0,00;0,00
2021-01-10;69,00;0,00;0,00
2021-01-17;34,00;17,00;0,00
2021-01-24;17,00;51,00;0,00
2021-01-31;0,00;34,00;0,00
2021-02-07;0,00;17,00;17,00
2021-02-14;18,00;18,00;0,00
2021-02-21;0,00;0,00;0,00
2021-02-28;0,00;0,00;0,00
2021-03-07;0,00;17,00;17,00
2021-03-14;0,00;0,00;0,00
2021-03-21;18,00;35,00;35,00
2021-03-28;19,00;58,00;0,00
2021-04-04;0,00;0,00;18,00
2021-04-11;17,00;35,00;69,00
2021-04-18;35,00;35,00;18,00
2021-04-25;18,00;35,00;0,00
2021-05-02;17,00;0,00;0,00
2021-05-09;35,00;18,00;0,00
2021-05-16;34,00;0,00;34,00
2021-05-23;0,00;0,00;0,00
2021-05-30;0,00;19,00;0,00
2021-06-06;36,00;18,00;0,00
2021-06-13;18,00;18,00;0,00
2021-06-20;37,00;18,00;0,00
2021-06-27;37,00;0,00;0,00
2021-07-04;0,00;0,00;0,00
2021-07-11;0,00;39,00;19,00
2021-07-18;0,00;20,00;20,00
2021-07-25;0,00;20,00;0,00
2021-08-01;0,00;40,00;0,00
2021-08-08;20,00;41,00;20,00
2021-08-15;0,00;20,00;0,00
2021-08-22;21,00;42,00;21,00
2021-08-29;0,00;21,00;0,00
2021-09-05;64,00;0,00;0,00
2021-09-12;0,00;21,00;0,00
2021-09-19;0,00;0,00;0,00
2021-09-26;61,00;0,00;20,00
2021-10-03;0,00;0,00;0,00
2021-10-10;0,00;43,00;0,00
2021-10-17;0,00;0,00;0,00
2021-10-24;21,00;21,00;0,00
2021-10-31;21,00;21,00;0,00
2021-11-07;24,00;24,00;0,00
