Semaine;St Barthélémy (BL);Iles Vierges (UK) (VG);Saint Vincent et les Grenadines (VC)
2020-11-01;57,00;29,00;0,00
2020-11-08;30,00;0,00;0,00
2020-11-15;0,00;0,00;29,00
2020-11-22;0,00;29,00;0,00
2020-11-29;29,00;0,00;0,00
2020-12-06;30,00;0,00;0,00
2020-12-13;0,00;0,00;0,00
2020-12-20;0,00;0,00;0,00
2020-12-27;0,00;0,00;0,00
2021-01-03;0,00;0,00;0,00
2021-01-10;59,00;0,00;0,00
2021-01-17;87,00;0,00;0,00
2021-01-24;0,00;0,00;0,00
2021-01-31;59,00;0,00;0,00
2021-02-07;0,00;0,00;0,00
2021-02-14;0,00;0,00;0,00
2021-02-21;0,00;0,00;0,00
2021-02-28;31,00;0,00;0,00
2021-03-07;0,00;0,00;0,00
2021-03-14;0,00;0,00;0,00
2021-03-21;0,00;0,00;0,00
2021-03-28;0,00;0,00;0,00
2021-04-04;0,00;0,00;0,00
2021-04-11;0,00;0,00;0,00
2021-04-18;0,00;0,00;0,00
2021-04-25;60,00;0,00;0,00
2021-05-02;0,00;0,00;0,00
2021-05-09;31,00;0,00;0,00
2021-05-16;0,00;0,00;0,00
2021-05-23;0,00;0,00;0,00
2021-05-30;31,00;0,00;0,00
2021-06-06;0,00;0,00;0,00
2021-06-13;0,00;0,00;30,00
2021-06-20;0,00;0,00;0,00
2021-06-27;0,00;0,00;0,00
2021-07-04;0,00;33,00;0,00
2021-07-11;100,00;0,00;0,00
2021-07-18;37,00;0,00;0,00
2021-07-25;0,00;0,00;0,00
2021-08-01;34,00;0,00;0,00
2021-08-08;0,00;0,00;0,00
2021-08-15;34,00;0,00;34,00
2021-08-22;0,00;0,00;0,00
2021-08-29;0,00;0,00;0,00
2021-09-05;0,00;0,00;0,00
2021-09-12;0,00;0,00;0,00
2021-09-19;0,00;0,00;0,00
2021-09-26;0,00;0,00;70,00
2021-10-03;0,00;0,00;34,00
2021-10-10;0,00;0,00;0,00
2021-10-17;0,00;0,00;0,00
2021-10-24;0,00;35,00;0,00
2021-10-31;0,00;0,00;0,00
2021-11-07;0,00;0,00;0,00
