Semaine;St Barthélémy (BL);Iles Vierges (UK) (VG);Saint Vincent et les Grenadines (VC)
2021-01-03;42,00;20,00;4,00
2021-01-10;39,00;39,00;4,00
2021-01-17;27,00;39,00;0,00
2021-01-24;12,00;20,00;8,00
2021-01-31;16,00;24,00;8,00
2021-02-07;8,00;16,00;8,00
2021-02-14;20,00;29,00;16,00
2021-02-21;8,00;24,00;4,00
2021-02-28;36,00;16,00;4,00
2021-03-07;25,00;25,00;8,00
2021-03-14;20,00;24,00;4,00
2021-03-21;4,00;25,00;0,00
2021-03-28;4,00;13,00;0,00
2021-04-04;8,00;21,00;21,00
2021-04-11;4,00;17,00;26,00
2021-04-18;9,00;18,00;4,00
2021-04-25;13,00;4,00;13,00
2021-05-02;8,00;29,00;0,00
2021-05-09;4,00;25,00;4,00
2021-05-16;4,00;43,00;9,00
2021-05-23;18,00;27,00;9,00
2021-05-30;23,00;14,00;5,00
2021-06-06;9,00;9,00;13,00
2021-06-13;13,00;30,00;4,00
2021-06-20;13,00;49,00;0,00
2021-06-27;4,00;34,00;9,00
2021-07-04;17,00;22,00;4,00
2021-07-11;4,00;36,00;0,00
2021-07-18;9,00;28,00;9,00
2021-07-25;4,00;23,00;9,00
2021-08-01;4,00;40,00;4,00
2021-08-08;13,00;23,00;5,00
2021-08-15;9,00;18,00;4,00
2021-08-22;5,00;15,00;5,00
2021-08-29;19,00;47,00;0,00
2021-09-05;100,00;34,00;5,00
2021-09-12;23,00;33,00;0,00
2021-09-19;9,00;19,00;5,00
2021-09-26;14,00;32,00;9,00
2021-10-03;0,00;42,00;0,00
2021-10-10;14,00;33,00;19,00
2021-10-17;9,00;14,00;5,00
2021-10-24;9,00;9,00;0,00
2021-10-31;14,00;38,00;9,00
2021-11-07;26,00;59,00;5,00
