Semaine;Martinique (LC);Guadeloupe (GP);Saint Martin (ile d Amérique du nord) (MF);Republique Dominicaine (DO);Sainte Lucie (LC);Barbade (BB)
2020-01-12;41,00;37,27;2,48;124,24;21,12;83,00
2020-01-19;9,00;46,29;9,00;118,29;2,57;85,00
2020-01-26;17,00;30,36;2,43;89,86;15,79;77,00
2020-02-02;11,00;24,44;4,89;70,89;0,00;76,00
2020-02-09;22,00;24,44;11,00;63,56;15,89;72,00
2020-02-16;26,00;55,90;6,50;44,20;9,10;100,00
2020-02-23;11,00;56,22;2,44;63,56;13,44;89,00
2020-03-01;14,00;21,64;8,91;71,27;11,45;66,00
2020-03-08;11,00;26,13;5,50;112,75;5,50;77,00
2020-03-15;0,00;28,00;2,00;47,00;2,00;92,00
2020-03-22;0,00;16,00;0,00;18,00;6,00;36,00
2020-03-29;5,00;27,50;2,50;17,50;5,00;36,00
2020-04-05;8,00;12,57;0,00;33,14;8,00;48,00
2020-04-12;5,00;10,00;2,50;21,25;0,00;27,00
2020-04-19;5,00;23,75;10,00;10,00;2,50;21,00
2020-04-26;18,00;20,57;2,57;28,29;10,29;38,00
2020-05-03;5,00;10,00;2,50;17,50;5,00;23,00
2020-05-10;5,00;15,00;2,50;31,25;2,50;37,00
2020-05-17;6,00;25,50;3,00;22,50;0,00;36,00
2020-05-24;11,00;26,13;0,00;42,63;2,75;34,00
2020-05-31;10,00;20,00;5,00;22,50;2,50;26,00
2020-06-07;5,00;28,75;2,50;28,75;0,00;29,00
2020-06-14;10,00;7,50;5,00;26,25;2,50;18,00
2020-06-21;8,00;10,29;0,00;17,14;2,29;28,00
2020-06-28;5,00;7,50;2,50;47,50;7,50;13,00
2020-07-05;8,00;14,86;2,29;25,14;2,29;31,00
2020-07-12;6,00;19,20;2,40;16,80;2,40;49,00
2020-07-19;0,00;16,00;2,00;18,00;5,00;32,00
2020-07-26;21,00;24,94;0,00;30,19;0,00;38,00
2020-08-02;15,00;11,25;2,50;28,75;0,00;15,00
2020-08-09;6,00;13,20;0,00;19,20;2,40;14,00
2020-08-16;6,00;16,80;2,40;19,20;0,00;12,00
2020-08-23;9,00;36,00;6,43;20,57;0,00;23,00
2020-08-30;3,00;27,00;7,50;40,50;3,00;20,00
2020-09-06;18,00;23,14;2,57;9,00;0,00;12,00
2020-09-13;6,00;8,40;0,00;19,20;2,40;44,00
2020-09-20;9,00;23,14;5,14;23,14;5,14;28,00
2020-09-27;6,00;27,60;2,40;21,60;6,00;35,00
2020-10-04;12,00;2,67;0,00;18,67;2,67;20,00
2020-10-11;6,00;8,40;2,40;20,40;0,00;27,00
2020-10-18;0,00;14,00;2,00;23,00;0,00;38,00
2020-10-25;6,00;25,20;0,00;16,80;2,40;32,00
2020-11-01;3,00;6,00;0,00;31,50;3,00;29,00
2020-11-08;9,00;9,00;11,57;43,71;6,43;20,00
2020-11-15;3,00;19,50;0,00;24,00;3,00;28,00
2020-11-22;8,00;4,57;0,00;20,57;2,29;20,00
2020-11-29;11,00;15,89;2,44;15,89;4,89;14,00
2020-12-06;6,00;16,50;6,00;19,50;10,50;37,00
2020-12-13;14,00;30,55;25,45;36,91;0,00;14,00
2020-12-20;10,00;12,50;0,00;22,50;3,75;46,00
2020-12-27;9,00;24,43;0,00;43,71;9,00;34,00
2021-01-03;11,00;22,00;4,89;56,22;11,00;28,00
2021-01-10;11,00;23,38;5,50;41,25;11,00;29,00
2021-01-17;13,00;29,90;7,80;24,70;10,40;26,00
2021-01-24;11,00;15,13;0,00;28,88;5,50;83,00
2021-01-31;8,00;8,00;2,67;38,67;5,33;29,00
2021-02-07;5,00;11,25;2,50;30,00;7,50;25,00
2021-02-14;6,00;22,50;3,00;33,00;0,00;33,00
2021-02-21;3,00;19,50;6,00;13,50;0,00;28,00
2021-02-28;5,00;13,75;0,00;27,50;0,00;22,00
2021-03-07;8,00;17,33;2,67;37,33;5,33;14,00
2021-03-14;3,00;21,00;0,00;36,00;0,00;31,00
2021-03-21;8,00;8,00;0,00;25,14;10,29;11,00
2021-03-28;6,00;2,40;6,00;34,80;2,40;30,00
2021-04-04;0,00;5,00;0,00;29,00;9,00;46,00
2021-04-11;16,00;23,38;4,92;52,92;2,46;30,00
2021-04-18;3,00;16,50;0,00;33,00;3,00;19,00
2021-04-25;8,00;10,29;2,29;32,00;6,86;19,00
2021-05-02;5,00;5,00;0,00;70,00;5,00;21,00
2021-05-09;8,00;20,57;2,29;62,86;4,57;22,00
2021-05-16;3,00;16,50;0,00;69,00;9,00;13,00
2021-05-23;6,00;6,00;3,00;90,00;0,00;45,00
2021-05-30;12,00;6,67;9,33;46,67;2,67;44,00
2021-06-06;6,00;21,60;6,00;62,40;4,80;26,00
2021-06-13;0,00;14,00;5,00;48,00;5,00;43,00
2021-06-20;9,00;29,57;6,43;82,29;6,43;40,00
2021-06-27;12,00;30,67;0,00;40,00;6,67;38,00
2021-07-04;12,00;9,33;6,67;81,33;2,67;50,00
2021-07-11;15,00;12,50;0,00;36,25;2,50;36,00
2021-07-18;10,00;28,75;0,00;50,00;10,00;22,00
2021-07-25;9,00;15,43;2,57;66,86;0,00;44,00
2021-08-01;6,00;24,00;0,00;74,40;2,40;19,00
2021-08-08;6,00;27,60;6,00;79,20;3,60;48,00
2021-08-15;16,00;13,33;2,67;53,33;2,67;41,00
2021-08-22;7,00;22,40;18,20;95,20;0,00;73,00
2021-08-29;10,00;28,75;0,00;81,25;3,75;65,00
2021-09-05;10,00;6,25;6,25;98,75;3,75;50,00
2021-09-12;13,00;10,40;10,40;76,70;6,50;81,00
2021-09-19;17,00;14,38;3,92;103,31;3,92;36,00
2021-09-26;10,00;16,25;6,25;60,00;3,75;38,00
2021-10-03;13,00;16,90;3,90;96,20;3,90;26,00
2021-10-10;17,00;27,46;3,92;90,23;3,92;37,00
2021-10-17;7,00;14,00;0,00;64,40;11,20;65,00
2021-10-24;7,00;29,40;18,20;57,40;0,00;59,00
2021-10-31;23,00;29,39;0,00;88,17;3,83;88,00
2021-11-07;22,00;22,00;3,67;53,78;0,00;55,00
