Semaine;St Barthélémy (BL);Iles Vierges (UK) (VG);Saint Vincent et les Grenadines (VC)
2020-01-26;28,00;0,00;4,00
2020-02-02;14,00;8,00;8,00
2020-02-09;16,00;2,00;10,00
2020-02-16;16,00;6,00;100,00
2020-02-23;12,00;2,00;6,00
2020-03-01;12,00;4,00;53,00
2020-03-08;14,00;0,00;8,00
2020-03-15;13,00;4,00;61,00
2020-03-22;22,00;0,00;2,00
2020-03-29;20,00;11,00;5,00
2020-04-05;9,00;4,00;4,00
2020-04-12;19,00;6,00;6,00
2020-04-19;20,00;9,00;26,00
2020-04-26;9,00;0,00;7,00
2020-05-03;12,00;0,00;7,00
2020-05-10;15,00;2,00;4,00
2020-05-17;20,00;2,00;2,00
2020-05-24;4,00;2,00;2,00
2020-05-31;13,00;2,00;2,00
2020-06-07;9,00;0,00;2,00
2020-06-14;11,00;2,00;0,00
2020-06-21;10,00;4,00;0,00
2020-06-28;8,00;2,00;4,00
2020-07-05;14,00;2,00;2,00
2020-07-12;11,00;2,00;2,00
2020-07-19;21,00;0,00;0,00
2020-07-26;23,00;0,00;0,00
2020-08-02;17,00;0,00;4,00
2020-08-09;4,00;0,00;9,00
2020-08-16;26,00;0,00;6,00
2020-08-23;25,00;0,00;2,00
2020-08-30;10,00;4,00;4,00
2020-09-06;14,00;8,00;0,00
2020-09-13;22,00;2,00;8,00
2020-09-20;18,00;0,00;2,00
2020-09-27;10,00;0,00;2,00
2020-10-04;18,00;6,00;0,00
2020-10-11;6,00;2,00;7,00
2020-10-18;19,00;0,00;4,00
2020-10-25;12,00;0,00;2,00
2020-11-01;11,00;0,00;0,00
2020-11-08;10,00;0,00;0,00
2020-11-15;14,00;0,00;4,00
2020-11-22;17,00;23,00;2,00
2020-11-29;27,00;0,00;0,00
2020-12-06;31,00;2,00;2,00
2020-12-13;31,00;2,00;4,00
2020-12-20;21,00;0,00;5,00
2020-12-27;29,00;5,00;2,00
2021-01-03;29,00;0,00;2,00
2021-01-10;31,00;2,00;6,00
2021-01-17;29,00;0,00;4,00
2021-01-24;24,00;0,00;0,00
2021-01-31;20,00;0,00;0,00
2021-02-07;14,00;2,00;4,00
2021-02-14;28,00;6,00;6,00
2021-02-21;17,00;0,00;2,00
2021-02-28;15,00;2,00;0,00
2021-03-07;19,00;4,00;2,00
2021-03-14;14,00;8,00;2,00
2021-03-21;25,00;6,00;0,00
2021-03-28;11,00;4,00;0,00
2021-04-04;18,00;6,00;8,00
2021-04-11;10,00;2,00;8,00
2021-04-18;15,00;0,00;0,00
2021-04-25;13,00;2,00;4,00
2021-05-02;17,00;2,00;2,00
2021-05-09;14,00;0,00;0,00
2021-05-16;21,00;0,00;0,00
2021-05-23;15,00;0,00;2,00
2021-05-30;8,00;0,00;2,00
2021-06-06;15,00;2,00;2,00
2021-06-13;11,00;4,00;6,00
2021-06-20;13,00;0,00;2,00
2021-06-27;17,00;0,00;0,00
2021-07-04;13,00;0,00;0,00
2021-07-11;13,00;0,00;5,00
2021-07-18;19,00;2,00;5,00
2021-07-25;27,00;2,00;5,00
2021-08-01;20,00;9,00;2,00
2021-08-08;35,00;0,00;7,00
2021-08-15;16,00;2,00;2,00
2021-08-22;24,00;2,00;2,00
2021-08-29;16,00;5,00;2,00
2021-09-05;14,00;2,00;5,00
2021-09-12;23,00;2,00;2,00
2021-09-19;5,00;0,00;0,00
2021-09-26;28,00;2,00;19,00
2021-10-03;23,00;12,00;14,00
2021-10-10;24,00;2,00;2,00
2021-10-17;21,00;5,00;7,00
2021-10-24;43,00;7,00;0,00
2021-10-31;24,00;2,00;7,00
2021-11-07;19,00;6,00;8,00
